,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Unnamed: 15
36,SJ Baard (NAM),2019-2021,9,9,0,166,73,18.44,290,57.24,0,1,2,16,1,
37,KH Prajapati (OMA),2021-2022,8,7,0,164,52,23.42,204,80.39,0,1,1,15,6,
38,Akshay Homraj (USA),2019-2020,8,8,0,159,44,19.87,223,71.3,0,0,0,9,4,
39,Mohammad Rizwan (PAK),2020-2021,9,9,0,159,74,17.66,199,79.89,0,1,1,16,0,
40,JN Frylinck (NAM),2019-2021,9,9,1,155,60,19.37,178,87.07,0,1,1,7,5,
41,SJ Myburgh (NED),2021-2021,6,6,1,154,74,30.8,259,59.45,0,1,0,13,3,
42,DE Budge (SCOT),2019-2021,8,7,3,153,40*,38.25,195,78.46,0,0,0,11,0,
43,JL Denly (ENG),2020-2020,3,2,0,153,87,76.5,182,84.06,0,2,0,12,5,
44,K Doriga (PNG),2019-2021,16,16,1,153,39*,10.2,318,48.11,0,0,3,10,0,
45,SSJ Brooks (WI),2022-2022,4,4,0,149,93,37.25,185,80.54,0,1,0,14,3,
46,Afif Hossain (BAN),2020-2021,7,7,2,146,45,29.2,127,114.96,0,0,0,10,3,
47,K Bhurtel (NEPAL),2021-2021,6,6,0,144,84,24.0,184,78.26,0,1,1,11,4,
48,EH Hutchinson (USA),2019-2021,11,8,2,142,49*,23.66,143,99.3,0,0,1,8,9,
49,KNA Bandara (SL),2021-2021,5,5,1,141,55*,35.25,217,64.97,0,2,0,9,1,
0,M Bhanuka (SL),2019-2021,6,6,0,140,36,23.33,194,72.16,0,0,0,13,2,
1,GJ Delany (IRE),2020-2022,12,12,4,137,22,17.12,162,84.56,0,0,1,15,2,
2,Rashid Khan (AFG),2019-2022,9,8,1,137,55,19.57,113,121.23,0,1,2,7,9,
3,KM Jadhav (INDIA),2019-2020,8,7,3,135,40,33.75,123,109.75,0,0,0,14,3,
4,Soumya Sarkar (BAN),2019-2021,9,7,0,135,69,19.28,184,73.36,0,1,1,10,2,
5,T Banton (ENG),2020-2020,6,5,0,134,58,26.80,145,92.41,0,1,0,17,2,
6,DJ Malan (ENG),2021-2021,5,5,2,134,68*,44.66,150,89.33,0,2,2,15,0,
7,KH Pandya (INDIA),2021-2021,5,4,2,130,58*,65.00,128,101.56,0,1,0,11,2,
8,NLTC Perera (SL),2019-2021,6,6,0,130,38,21.66,110,118.18,0,0,0,11,1,
9,DL Chahar (INDIA),2019-2022,5,3,2,129,69*,129.00,124,104.03,0,2,0,12,3,
