,Player,Span,Mat,Inns,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I,Unnamed: 11
22,DJ Richardson (SA),1991-1998,119,119,164,147,17,147,0,5 (5ct 0st),1.378,
23,BRM Taylor (ZIM),2004-2021,203,203,159,130,29,100,30,5 (5ct 0st),0.783,
24,RT Ponting (AUS/ICC),1995-2012,363,363,157,157,0,0,157,3 (3ct 0st),0.432,
25,M Azharuddin (INDIA),1985-2000,320,320,154,154,0,0,154,4 (4ct 0st),0.481,
26,NR Mongia (INDIA),1994-2000,132,132,148,106,42,106,0,5 (4ct 1st),1.121,
27,T Taibu (ZIM),2001-2012,145,145,146,113,33,111,2,4 (4ct 0st),1.006,
28,Sarfaraz Ahmed (PAK),2007-2021,113,113,143,119,24,119,0,6 (6ct 0st),1.265,
29,LRPL Taylor (NZ),2006-2021,218,218,135,135,0,0,135,4 (4ct 0st),0.619,
30,Younis Khan (PAK),2000-2015,258,258,135,135,0,5,130,4 (4ct 0st),0.523,
31,V Kohli (INDIA),2008-2022,249,249,134,134,0,0,134,3 (3ct 0st),0.538,
32,SR Tendulkar (INDIA),1989-2012,439,439,134,134,0,0,134,4 (4ct 0st),0.305,
33,SP Fleming (ICC/NZ),1994-2007,265,265,132,132,0,0,132,4 (4ct 0st),0.498,
34,AC Parore (NZ),1992-2002,168,168,131,110,21,105,5,4 (4ct 0st),0.779,
35,JH Kallis (Afr/ICC/SA),1996-2014,318,318,130,130,0,0,130,3 (3ct 0st),0.408,
36,M Muralitharan (Asia/ICC/SL),1993-2011,337,337,129,129,0,0,129,3 (3ct 0st),0.382,
37,AR Border (AUS),1979-1994,262,262,126,126,0,0,126,3 (3ct 0st),0.48,
38,Khaled Mashud (BAN),1995-2006,124,124,126,91,35,91,0,5 (3ct 2st),1.016,
39,Shahid Afridi (Asia/ICC/PAK),1996-2015,389,389,126,126,0,0,126,2 (2ct 0st),0.323,
40,TM Dilshan (SL),1999-2016,314,314,123,122,1,5,117,3 (3ct 0st),0.391,
41,ST Jayasuriya (Asia/SL),1989-2011,429,429,122,122,0,0,122,3 (3ct 0st),0.284,
42,RW Marsh (AUS),1971-1984,89,89,122,118,4,118,0,5 (5ct 0st),1.37,
43,CL Hooper (WI),1987-2003,220,220,119,119,0,0,119,4 (4ct 0st),0.54,
44,BC Lara (ICC/WI),1990-2007,286,286,119,119,0,0,119,3 (3ct 0st),0.416,
45,MS Wade (AUS),2012-2021,90,90,115,106,9,106,0,5 (5ct 0st),1.277,
46,CH Gayle (ICC/WI),1999-2019,281,281,114,114,0,0,114,3 (3ct 0st),0.405,
47,Inzamam-ul-Haq (Asia/PAK),1991-2007,369,369,113,113,0,0,113,3 (3ct 0st),0.306,
48,L Ronchi (AUS/NZ),2008-2017,79,79,113,101,12,101,0,4 (4ct 0st),1.43,
49,ME Waugh (AUS),1988-2002,242,242,108,108,0,0,108,3 (3ct 0st),0.446,
0,SR Waugh (AUS),1986-2002,321,321,108,108,0,0,108,3 (3ct 0st),0.336,
1,SM Pollock (Afr/ICC/SA),1996-2008,293,293,107,107,0,0,107,2 (2ct 0st),0.365,
2,PD Collingwood (ENG),2001-2011,190,190,105,105,0,0,105,3 (3ct 0st),0.552,
3,HH Gibbs (SA),1996-2010,241,241,105,105,0,0,105,3 (3ct 0st),0.435,
4,RS Mahanama (SL),1986-1999,203,203,105,105,0,0,105,3 (3ct 0st),0.517,
5,GC Smith (SA),2002-2013,190,190,105,105,0,0,105,4 (4ct 0st),0.552,
6,MJ Clarke (AUS),2003-2015,232,232,103,103,0,0,103,4 (4ct 0st),0.443,
7,MEK Hussey (AUS),2004-2012,179,179,103,103,0,0,103,3 (3ct 0st),0.575,
8,JN Rhodes (SA),1992-2003,240,240,103,103,0,0,103,5 (5ct 0st),0.429,
9,Saleem Yousuf (PAK),1982-1990,86,86,103,81,22,81,0,4 (3ct 1st),1.197,
10,SD Hope (WI),2016-2022,80,80,100,90,10,90,0,5 (4ct 1st),1.25,
11,NJ O'Brien (IRE),2006-2018,97,97,100,86,14,78,8,5 (5ct 0st),1.03,
12,IVA Richards (WI),1975-1991,184,184,100,100,0,0,100,3 (3ct 0st),0.543,
13,SK Raina (INDIA),2005-2018,217,217,97,97,0,0,97,3 (3ct 0st),0.447,
14,SC Ganguly (Asia/INDIA),1992-2007,295,295,96,96,0,0,96,3 (3ct 0st),0.325,
15,Shoaib Malik (PAK),1999-2019,281,281,96,96,0,0,96,2 (2ct 0st),0.341,
16,HP Tillakaratne (SL),1986-2003,193,193,95,89,6,39,50,5 (5ct 0st),0.492,
17,PA de Silva (SL),1984-2003,295,295,94,94,0,0,94,3 (3ct 0st),0.318,
18,MJ Guptill (NZ),2009-2021,177,177,93,93,0,0,93,4 (4ct 0st),0.525,
19,TWM Latham (NZ),2012-2021,97,97,93,85,8,59,26,5 (5ct 0st),0.958,
20,CZ Harris (NZ),1990-2004,236,236,92,92,0,0,92,4 (4ct 0st),0.389,
21,Yuvraj Singh (Asia/INDIA),2000-2017,289,289,92,92,0,0,92,3 (3ct 0st),0.318,
22,Ijaz Ahmed (PAK),1986-2000,248,248,90,90,0,0,90,3 (3ct 0st),0.362,
23,KS More (INDIA),1984-1993,92,92,90,63,27,63,0,5 (3ct 2st),0.978,
24,Umar Akmal (PAK),2009-2019,119,119,90,77,13,45,32,5 (5ct 0st),0.756,
25,Mohammad Shahzad (AFG),2009-2019,83,83,89,64,25,63,1,5 (4ct 1st),1.072,
26,V Sehwag (Asia/ICC/INDIA),1999-2013,237,237,88,88,0,0,88,3 (3ct 0st),0.371,
27,Wasim Akram (PAK),1984-2003,350,350,88,88,0,0,88,3 (3ct 0st),0.251,
28,HM Amla (SA),2008-2019,175,175,87,87,0,0,87,4 (4ct 0st),0.497,
29,EJG Morgan (ENG/IRE),2006-2021,235,235,87,87,0,3,84,3 (3ct 0st),0.37,
30,MH Cross (SCOT),2014-2021,54,54,85,81,4,81,0,6 (6ct 0st),1.574,
31,DL Vettori (ICC/NZ),1997-2015,274,274,85,85,0,0,85,2 (2ct 0st),0.31,
32,Mohammad Hafeez (PAK),2003-2019,213,213,84,84,0,0,84,2 (2ct 0st),0.394,
33,A Kumble (Asia/INDIA),1990-2007,259,259,83,83,0,0,83,2 (2ct 0st),0.32,
34,JP Duminy (SA),2004-2019,194,194,82,82,0,0,82,3 (3ct 0st),0.422,
35,GW Flower (ZIM),1992-2010,213,213,82,82,0,0,82,2 (2ct 0st),0.384,
36,IDS Smith (NZ),1980-1992,95,95,82,78,4,77,1,3 (3ct 0st),0.863,
37,A Symonds (AUS),1998-2009,191,191,82,82,0,0,82,4 (4ct 0st),0.429,
38,GC Wilson (IRE),2007-2019,100,100,82,72,10,49,23,4 (4ct 0st),0.82,
39,NJ Astle (NZ),1995-2007,211,211,81,81,0,0,81,3 (3ct 0st),0.383,
40,F du Plessis (SA),2011-2019,140,140,81,81,0,0,81,3 (3ct 0st),0.578,
41,Saleem Malik (PAK),1982-1999,276,276,81,81,0,1,80,4 (4ct 0st),0.293,
42,UDU Chandana (SL),1994-2007,143,143,79,79,0,0,79,3 (3ct 0st),0.552,
43,SK Warne (AUS/ICC),1993-2005,192,192,79,79,0,0,79,3 (3ct 0st),0.411,
44,MJ Prior (ENG),2004-2011,66,66,77,69,8,67,2,6 (6ct 0st),1.166,
45,JE Root (ENG),2013-2021,144,144,76,76,0,0,76,3 (3ct 0st),0.527,
46,RG Sharma (INDIA),2007-2021,220,220,76,76,0,0,76,3 (3ct 0st),0.345,
47,RB Richardson (WI),1983-1996,219,219,75,75,0,0,75,4 (4ct 0st),0.342,
48,ADR Campbell (ZIM),1992-2003,183,183,74,74,0,2,72,3 (3ct 0st),0.404,
49,JC Adams (WI),1992-2001,123,123,73,68,5,26,42,5 (4ct 1st),0.593,
0,DJ Bravo (WI),2004-2014,158,158,73,73,0,0,73,3 (3ct 0st),0.462,
1,WJ Cronje (SA),1992-2000,183,183,73,73,0,0,73,2 (2ct 0st),0.398,
2,Javed Miandad (PAK),1975-1996,226,226,73,71,2,1,70,3 (3ct 0st),0.323,
3,S Chanderpaul (WI),1994-2011,255,255,72,72,0,0,72,2 (2ct 0st),0.282,
4,E Chigumbura (Afr/ZIM),2004-2018,211,211,72,72,0,0,72,4 (4ct 0st),0.341,
5,KD Karthik (INDIA),2004-2019,91,91,71,64,7,35,29,4 (4ct 0st),0.78,
6,H Masakadza (ZIM),2001-2019,208,208,71,71,0,0,71,2 (2ct 0st),0.341,
7,SB Styris (NZ),1999-2011,177,177,71,71,0,0,71,3 (3ct 0st),0.401,
8,MS Atapattu (SL),1990-2007,261,261,70,70,0,0,70,3 (3ct 0st),0.268,
9,S Dhawan (INDIA),2010-2022,143,143,70,70,0,0,70,4 (4ct 0st),0.489,
10,MG Bevan (AUS),1994-2004,229,229,69,69,0,0,69,3 (3ct 0st),0.301,
11,N Kapil Dev (INDIA),1978-1994,218,218,69,69,0,0,69,3 (3ct 0st),0.316,
12,Mahmudullah (BAN),2007-2021,195,195,69,69,0,0,69,3 (3ct 0st),0.353,
13,A Bagai (CAN),2003-2013,61,61,68,59,9,58,1,4 (4ct 0st),1.114,
14,Harbhajan Singh (Asia/INDIA),1998-2015,221,221,68,68,0,0,68,3 (3ct 0st),0.307,
15,DR Martyn (AUS),1992-2006,201,201,68,68,0,0,68,3 (3ct 0st),0.338,
16,ML Hayden (AUS/ICC),1993-2008,153,153,67,67,0,0,67,2 (2ct 0st),0.437,
17,GO Jones (ENG/PNG),2004-2014,49,49,67,63,4,63,0,5 (5ct 0st),1.367,
18,GJ Maxwell (AUS),2012-2020,110,110,67,67,0,0,67,4 (4ct 0st),0.609,
19,KJ O'Brien (IRE),2006-2021,146,146,67,67,0,0,67,3 (3ct 0st),0.458,
20,SPD Smith (AUS),2010-2020,122,122,67,67,0,0,67,3 (3ct 0st),0.549,
21,SO Tikolo (Afr/KENYA),1996-2014,131,131,67,67,0,0,67,3 (3ct 0st),0.511,
22,CO Browne (WI),1995-2005,45,45,66,57,9,57,0,5 (5ct 0st),1.466,
23,LD Chandimal (SL),2010-2022,144,144,66,58,8,30,28,4 (3ct 1st),0.458,
24,Misbah-ul-Haq (PAK),2002-2015,159,159,66,66,0,0,66,4 (4ct 0st),0.415,
25,WTS Porterfield (IRE),2006-2022,138,138,66,66,0,0,66,3 (3ct 0st),0.478,
26,DJG Sammy (WI),2004-2015,121,121,66,66,0,0,66,3 (3ct 0st),0.545,
27,CL Cairns (ICC/NZ),1991-2006,207,207,65,65,0,0,65,3 (3ct 0st),0.314,
28,MD Crowe (NZ),1982-1995,139,139,65,65,0,0,65,3 (3ct 0st),0.467,
29,GA Hick (ENG),1991-2001,117,117,62,62,0,0,62,3 (3ct 0st),0.529,
30,C Kieswetter (ENG),2010-2013,44,44,62,50,12,49,1,5 (2ct 3st),1.409,
31,Mashrafe Mortaza (Asia/BAN),2001-2020,217,217,62,62,0,0,62,2 (2ct 0st),0.285,
32,DA Miller (SA),2010-2022,134,134,62,62,0,0,62,3 (3ct 0st),0.462,
33,Wasim Bari (PAK),1973-1984,49,49,62,52,10,52,0,4 (3ct 1st),1.265,
34,SR Watson (AUS),2002-2015,181,181,62,62,0,0,62,2 (2ct 0st),0.342,
35,DJ Cullinan (SA),1993-2000,132,132,61,61,0,0,61,3 (3ct 0st),0.462,
36,AJ Finch (AUS),2013-2020,126,126,61,61,0,0,61,3 (3ct 0st),0.484,
37,NLTC Perera (SL),2009-2021,157,157,61,61,0,0,61,2 (2ct 0st),0.388,
38,KA Pollard (WI),2007-2022,118,118,61,61,0,0,61,4 (4ct 0st),0.516,
39,A Ranatunga (SL),1982-1999,256,256,61,61,0,0,61,3 (3ct 0st),0.238,
40,Tamim Iqbal (BAN),2007-2021,215,215,61,61,0,0,61,3 (3ct 0st),0.283,
41,RA Jadeja (INDIA),2009-2020,163,163,60,60,0,0,60,2 (2ct 0st),0.368,
42,G Kirsten (SA),1993-2003,181,181,60,59,1,1,58,3 (3ct 0st),0.331,
43,AL Logie (WI),1981-1993,157,157,60,60,0,0,60,3 (3ct 0st),0.382,
44,KS Williamson (NZ),2010-2020,146,146,60,60,0,0,60,3 (3ct 0st),0.41,
45,DL Haynes (WI),1978-1994,234,234,59,59,0,0,59,2 (2ct 0st),0.252,
46,WPUJC Vaas (Asia/SL),1994-2008,311,311,59,59,0,0,59,2 (2ct 0st),0.189,
47,A Jadeja (INDIA),1992-2000,186,186,58,58,0,0,58,2 (2ct 0st),0.311,
48,Mohammad Yousuf (Asia/PAK),1998-2010,283,283,58,58,0,0,58,2 (2ct 0st),0.204,
49,MA Ouma (KENYA),2004-2014,77,77,58,48,10,43,5,5 (3ct 2st),0.753,
0,AT Carey (AUS),2018-2021,45,45,57,51,6,51,0,5 (4ct 1st),1.266,
1,JO Holder (WI),2013-2022,118,118,57,57,0,0,57,2 (2ct 0st),0.483,
2,KO Otieno (KENYA),1996-2009,86,86,57,43,14,40,3,4 (3ct 1st),0.662,
3,Mohammad Nabi (AFG),2009-2021,124,124,56,56,0,0,56,3 (3ct 0st),0.451,
4,MA Taylor (AUS),1989-1997,113,113,56,56,0,0,56,4 (4ct 0st),0.495,
5,RA Harper (WI),1983-1996,104,104,55,55,0,0,55,3 (3ct 0st),0.528,
6,TD Paine (AUS),2009-2018,33,33,55,51,4,51,0,5 (5ct 0st),1.666,
7,IR Bell (ENG),2004-2015,155,155,54,54,0,0,54,3 (3ct 0st),0.348,
8,DM Jones (AUS),1984-1994,162,162,54,54,0,0,54,2 (2ct 0st),0.333,
9,PV Simmons (WI),1987-1999,141,141,54,54,0,0,54,4 (4ct 0st),0.382,
10,AJ Strauss (ENG),2003-2011,123,123,54,54,0,0,54,3 (3ct 0st),0.439,
11,DA Warner (AUS),2009-2020,123,123,54,54,0,0,54,2 (2ct 0st),0.439,
12,M Kaif (INDIA),2002-2006,118,118,53,53,0,0,53,4 (4ct 0st),0.449,
13,B Lee (AUS),2000-2012,209,209,53,53,0,0,53,3 (3ct 0st),0.253,
14,AD Mathews (SL),2008-2021,207,207,53,53,0,0,53,3 (3ct 0st),0.256,
15,JR Murray (WI),1992-1999,54,54,53,46,7,44,2,3 (3ct 0st),0.981,
16,JM Anderson (ENG),2002-2015,187,187,52,52,0,0,52,3 (3ct 0st),0.278,
17,Shakib Al Hasan (BAN),2006-2021,211,211,52,52,0,0,52,3 (3ct 0st),0.246,
18,PR Stirling (IRE),2008-2022,128,128,52,52,0,0,52,3 (3ct 0st),0.406,
19,JDP Oram (NZ),2001-2012,153,153,51,51,0,0,51,2 (2ct 0st),0.333,
20,SC Williams (ZIM),2005-2022,139,139,51,51,0,0,51,3 (3ct 0st),0.366,
21,AB Agarkar (INDIA),1998-2007,182,182,50,50,0,0,50,2 (2ct 0st),0.274,
22,CS Baugh (WI),2003-2012,45,45,50,38,12,38,0,4 (2ct 2st),1.111,
23,MDKJ Perera (SL),2013-2021,101,101,50,47,3,30,17,4 (4ct 0st),0.495,
24,P Utseya (ZIM),2004-2015,163,163,50,50,0,0,50,2 (2ct 0st),0.306,
25,JG Wright (NZ),1978-1992,144,144,50,50,0,0,50,2 (2ct 0st),0.347,
26,Aamer Sohail (PAK),1990-2000,153,153,49,49,0,0,49,2 (2ct 0st),0.32,
27,RW Chakabva (ZIM),2008-2022,49,49,49,44,5,32,12,5 (5ct 0st),1.0,
28,N Dickwella (SL),2014-2021,51,51,49,40,9,40,0,4 (2ct 2st),0.96,
29,AP Gurusinha (SL),1985-1996,142,142,49,49,0,2,47,2 (2ct 0st),0.345,
30,MN Samuels (WI),2000-2018,201,201,49,49,0,0,49,2 (2ct 0st),0.243,
31,WU Tharanga (Asia/SL),2005-2019,220,220,49,49,0,0,49,3 (3ct 0st),0.222,
32,RP Arnold (SL),1997-2007,175,175,48,48,0,0,48,2 (2ct 0st),0.274,
33,CR Ervine (ZIM),2010-2022,100,100,48,48,0,0,48,4 (4ct 0st),0.48,
34,AM Rahane (INDIA),2011-2018,86,86,48,48,0,0,48,2 (2ct 0st),0.558,
35,GJ Bailey (AUS),2012-2016,84,84,47,47,0,0,47,3 (3ct 0st),0.559,
36,BA Stokes (ENG),2011-2021,96,96,47,47,0,0,47,3 (3ct 0st),0.489,
37,ME Trescothick (ENG),2000-2006,116,116,47,47,0,4,43,3 (3ct 0st),0.405,
38,KC Wessels (AUS/SA),1983-1994,102,102,47,47,0,0,47,4 (4ct 0st),0.46,
39,RC Russell (ENG),1987-1998,38,38,46,40,6,40,0,3 (3ct 0st),1.21,
40,CEL Ambrose (WI),1988-2000,174,174,45,45,0,0,45,3 (3ct 0st),0.258,
41,DC Boon (AUS),1984-1995,178,178,45,45,0,0,45,2 (2ct 0st),0.252,
42,CG Greenidge (WI),1975-1991,126,126,45,45,0,0,45,2 (2ct 0st),0.357,
43,BKG Mendis (SL),2016-2022,79,79,45,42,3,4,38,3 (3ct 0st),0.569,
44,WB Phillips (AUS),1984-1986,44,44,45,38,7,38,0,4 (3ct 1st),1.022,
45,Sikandar Raza (ZIM),2013-2022,108,108,45,45,0,0,45,3 (3ct 0st),0.416,
46,J Smits (NED),2003-2009,36,36,45,38,7,38,0,4 (4ct 0st),1.25,
47,D Williams (WI),1988-1997,35,35,45,35,10,35,0,4 (4ct 0st),1.285,
48,CR Woakes (ENG),2011-2021,98,98,45,45,0,0,45,4 (4ct 0st),0.459,
49,A Flintoff (ENG/ICC),1999-2009,135,135,44,44,0,0,44,3 (3ct 0st),0.325,
0,GA Gooch (ENG),1976-1995,121,121,44,44,0,0,44,2 (2ct 0st),0.363,
1,DI Gower (ENG),1978-1991,113,113,44,44,0,0,44,3 (3ct 0st),0.389,
2,NV Knight (ENG),1996-2003,99,99,44,44,0,0,44,2 (2ct 0st),0.444,
3,KMDN Kulasekara (SL),2003-2017,173,173,44,44,0,0,44,3 (3ct 0st),0.254,
4,DO Obuya (KENYA),2001-2012,71,71,44,39,5,23,16,4 (1ct 3st),0.619,
5,RR Sarwan (WI),2000-2013,167,167,44,44,0,0,44,2 (2ct 0st),0.263,
6,HH Streak (Afr/ZIM),1993-2005,182,182,44,44,0,0,44,2 (2ct 0st),0.241,
7,Z Khan (Asia/INDIA),2000-2012,190,190,43,43,0,0,43,3 (3ct 0st),0.226,
8,CO Obuya (KENYA),2001-2014,103,103,43,43,0,0,43,3 (3ct 0st),0.417,
9,JM Bairstow (ENG),2011-2021,81,81,42,40,2,19,21,4 (4ct 0st),0.518,
10,BM McMillan (SA),1991-1998,76,76,42,42,0,0,42,3 (3ct 0st),0.552,
11,CD McMillan (NZ),1997-2007,185,185,42,42,0,0,42,2 (2ct 0st),0.227,
12,RL Powell (WI),1999-2005,101,101,42,42,0,0,42,3 (3ct 0st),0.415,
13,CMW Read (ENG),2000-2006,33,33,42,40,2,40,0,5 (5ct 0st),1.272,
14,Saeed Anwar (PAK),1989-2003,241,241,42,42,0,0,42,3 (3ct 0st),0.174,
15,V Sibanda (Afr/ZIM),2003-2016,124,124,42,42,0,0,42,2 (2ct 0st),0.338,
16,K Srikkanth (INDIA),1981-1992,142,142,42,42,0,0,42,2 (2ct 0st),0.295,
17,GP Thorpe (ENG),1993-2002,80,80,42,42,0,0,42,3 (3ct 0st),0.525,
18,KD Mills (NZ),2001-2015,160,160,41,41,0,0,41,3 (3ct 0st),0.256,
19,KR Rutherford (NZ),1985-1995,118,118,41,41,0,0,41,4 (4ct 0st),0.347,
20,L Vincent (NZ),2001-2007,98,98,41,41,0,2,39,2 (2ct 0st),0.418,
21,N Hussain (ENG),1989-2003,87,87,40,40,0,0,40,2 (2ct 0st),0.459,
22,Saqlain Mushtaq (PAK),1995-2003,166,166,40,40,0,0,40,2 (2ct 0st),0.24,
23,RJ Shastri (INDIA),1981-1992,144,144,40,40,0,0,40,2 (2ct 0st),0.277,
24,Babar Azam (PAK),2015-2021,80,80,39,39,0,0,39,2 (2ct 0st),0.487,
25,SV Carlisle (ZIM),1995-2005,109,109,39,39,0,0,39,3 (3ct 0st),0.357,
26,GH Dockrell (IRE),2010-2022,93,93,39,39,0,0,39,2 (2ct 0st),0.419,
27,VVS Laxman (INDIA),1998-2006,84,84,39,39,0,0,39,4 (4ct 0st),0.464,
28,CH Lloyd (WI),1973-1985,86,86,39,39,0,0,39,3 (3ct 0st),0.453,
29,PA Patel (INDIA),2003-2012,35,35,39,30,9,30,0,4 (3ct 1st),1.114,
30,TE Blain (NZ),1986-1994,38,38,38,37,1,36,1,4 (4ct 0st),1.0,
31,JV Coney (NZ),1979-1987,84,84,38,38,0,0,38,3 (3ct 0st),0.452,
32,Mohammad Rizwan (PAK),2015-2021,41,41,38,37,1,25,12,4 (4ct 0st),0.926,
33,DL Murray (WI),1973-1980,26,26,38,37,1,37,0,4 (4ct 0st),1.461,
34,Najibullah Zadran (AFG),2012-2022,72,72,38,38,0,0,38,3 (3ct 0st),0.527,
35,KP Pietersen (ENG/ICC),2004-2013,129,129,38,38,0,0,38,2 (2ct 0st),0.294,
36,TG Southee (NZ),2008-2020,133,133,38,38,0,0,38,3 (3ct 0st),0.285,
37,Azhar Mahmood (PAK),1996-2007,140,140,37,37,0,0,37,2 (2ct 0st),0.264,
38,AG Cremer (ZIM),2009-2018,94,94,37,37,0,0,37,2 (2ct 0st),0.393,
39,Liton Das (BAN),2015-2021,47,47,37,34,3,10,24,4 (4ct 0st),0.787,
40,GD McGrath (AUS/ICC),1993-2007,245,245,37,37,0,0,37,3 (3ct 0st),0.151,
41,S Matsikenyeri (ZIM),2002-2015,112,112,37,37,0,0,37,3 (3ct 0st),0.33,
42,Sabbir Rahman (BAN),2014-2019,63,63,37,37,0,0,37,3 (3ct 0st),0.587,
43,HDRL Thirimanne (SL),2010-2019,120,120,37,37,0,0,37,2 (2ct 0st),0.308,
44,LJ Tucker (IRE),2019-2022,24,24,37,36,1,35,1,4 (4ct 0st),1.541,
45,MM Ali (ENG),2014-2021,108,108,36,36,0,0,36,3 (3ct 0st),0.333,
46,J Botha (Afr/SA),2005-2012,77,77,36,36,0,0,36,3 (3ct 0st),0.467,
47,IT Botham (ENG),1976-1992,114,114,36,36,0,0,36,2 (2ct 0st),0.315,
48,G Gambhir (INDIA),2003-2013,139,139,36,36,0,0,36,3 (3ct 0st),0.258,
49,Imran Khan (PAK),1974-1992,171,171,36,36,0,0,36,3 (3ct 0st),0.21,
0,SMH Kirmani (INDIA),1976-1986,48,48,36,27,9,27,0,5 (5ct 0st),0.75,
1,NL McCullum (NZ),2009-2015,78,78,36,36,0,0,36,4 (4ct 0st),0.461,
2,DB Vengsarkar (INDIA),1976-1991,124,124,36,36,0,0,36,3 (3ct 0st),0.29,
3,CL White (AUS),2005-2018,87,87,36,36,0,0,36,3 (3ct 0st),0.413,
4,Abdul Razzaq (Asia/PAK),1996-2011,259,259,35,35,0,0,35,2 (2ct 0st),0.135,
5,RS Bopara (ENG),2007-2015,116,116,35,35,0,0,35,2 (2ct 0st),0.301,
6,AN Cook (ENG),2006-2014,90,90,35,35,0,0,35,2 (2ct 0st),0.388,
7,MJ Greatbatch (NZ),1988-1996,84,84,35,35,0,1,34,2 (2ct 0st),0.416,
8,GB Hogg (AUS),1996-2008,117,117,35,35,0,0,35,2 (2ct 0st),0.299,
9,MG Johnson (AUS),2005-2015,142,142,35,35,0,0,35,2 (2ct 0st),0.246,
10,DSBP Kuruppu (SL),1983-1990,52,52,35,27,8,23,4,4 (3ct 1st),0.673,
11,RG Twose (NZ),1995-2001,81,81,35,35,0,0,35,2 (2ct 0st),0.432,
12,Waqar Younis (PAK),1989-2003,258,258,35,35,0,0,35,2 (2ct 0st),0.135,
13,TA Boult (NZ),2012-2021,90,90,34,34,0,0,34,2 (2ct 0st),0.377,
14,DM Bravo (WI),2009-2021,115,115,34,34,0,0,34,3 (3ct 0st),0.295,
15,HH Dippenaar (Afr/SA),1999-2007,103,103,34,34,0,2,32,3 (3ct 0st),0.33,
16,L Klusener (SA),1996-2004,166,166,34,34,0,0,34,2 (2ct 0st),0.204,
17,Mohammad Ashraful (Asia/BAN),2001-2013,173,173,34,34,0,0,34,2 (2ct 0st),0.196,
18,BKV Prasad (INDIA),1994-2001,153,153,34,34,0,0,34,3 (3ct 0st),0.222,
19,AU Rashid (ENG),2009-2021,105,105,34,34,0,0,34,3 (3ct 0st),0.323,
20,JJ Roy (ENG),2015-2021,92,92,34,34,0,0,34,2 (2ct 0st),0.369,
21,PL Taylor (AUS),1987-1992,82,82,34,34,0,0,34,2 (2ct 0st),0.414,
22,GJ Whittall (ZIM),1993-2003,143,143,34,34,0,0,34,4 (4ct 0st),0.237,
23,CJ Chibhabha (ZIM),2005-2020,105,105,33,33,0,0,33,2 (2ct 0st),0.314,
24,HDPK Dharmasena (SL),1994-2004,134,134,33,33,0,0,33,2 (2ct 0st),0.246,
25,NH Fairbrother (ENG),1987-1999,74,74,33,33,0,0,33,3 (3ct 0st),0.445,
26,KM Jadhav (INDIA),2014-2020,71,71,33,33,0,0,33,3 (3ct 0st),0.464,
27,JM Kemp (Afr/SA),2001-2007,81,81,33,33,0,0,33,3 (3ct 0st),0.407,
28,Ramiz Raja (PAK),1985-1997,192,192,33,33,0,0,33,2 (2ct 0st),0.171,
29,RR Singh (INDIA),1989-2001,127,127,33,33,0,0,33,2 (2ct 0st),0.259,
30,Soumya Sarkar (BAN),2014-2021,58,58,33,33,0,0,33,4 (4ct 0st),0.568,
